gene_symbol,Sdcbp2
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
pvalue,0.3270317
mouse_strain,C57BL
gene_accession_id,MGI:2385156
parameter_name,Total bilirubin
analysis_id,fg5u2604430k0u5
