gene_symbol,Sprr1b
pvalue,0.2176978
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
analysis_id,se27vf9gki9zpc6
parameter_name,Cornea vascularisation
mouse_strain,C57BL
parameter_id,ESLIM_014_001_008
