analysis_id,08il5an4559v98x
gene_symbol,Arpc2
mouse_life_stage,Early adult
pvalue,0.2318372
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:1923959
mouse_strain,129SV
