gene_symbol,Kif24
parameter_id,MGP_IMM_017_001
analysis_id,kfsp3e3413r10lm
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.5164343
mouse_strain,C57BL
