mouse_life_stage,E12.5
pvalue,0.8614886
gene_accession_id,MGI:1915087
parameter_name,Heart weight
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_id,HMGULA_HWT_008_001
analysis_id,5e8hi7683jhv5y0
