gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
analysis_id,xy901eiysxk85c3
pvalue,0.6360351
parameter_name,Startle response
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
