analysis_id,798h3osb8264ayp
gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Mean platelet volume
pvalue,0.5444361
parameter_id,IMPC_HEM_019_001
