analysis_id,511901s78965aaq
gene_symbol,Tbl1xr1
pvalue,0.5255455
parameter_name,Tibia
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
