gene_symbol,Psd4
pvalue,0.2667727
analysis_id,2128zy1k40c27sh
mouse_strain,C57BL
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
parameter_name,Distance travelled - total
