analysis_id,382tl695bcewpp1
gene_accession_id,MGI:1915087
pvalue,0.3586958
gene_symbol,Tiprl
parameter_name,Forelimb and hindlimb grip strength measurement mean
parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
mouse_life_stage,E12.5
