gene_symbol,Trpa1
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:3522699
pvalue,0.1865479
parameter_id,MGP_IMM_130_001
mouse_life_stage,Early adult
analysis_id,yj0465966r52l6e
