analysis_id,hgs8tn33b5g2hyi
gene_accession_id,MGI:1913405
pvalue,0.9618722
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
parameter_name,Limb morphology
gene_symbol,Ufc1
