parameter_name,Eosinophil percentage
analysis_id,r6gk0d1n94j6299
parameter_id,MGP_PBI_020_001
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
pvalue,0.2760043
