parameter_name,Tremor
gene_symbol,Morn5
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ixfm3z160ykpc78
gene_accession_id,MGI:1922745
parameter_id,IMPC_CSD_030_001
pvalue,0.2074715
