analysis_id,h97i732f5z39i04
gene_accession_id,MGI:1924360
mouse_strain,C59BL
pvalue,0.2461582
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
parameter_name,CV
parameter_id,IMPC_ECG_003_001
