analysis_id,q786d0x48654p3b
gene_symbol,Psmd14
parameter_id,MGP_IMM_020_001
parameter_name,Effector gd T cells - % of gd T cells
mouse_strain,C57BL
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
pvalue,0.1658249
