parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,Early adult
pvalue,0.6743516
gene_accession_id,MGI:1913396
analysis_id,07jk9tb1w9u2f87
gene_symbol,Maco1
