analysis_id,klgi68u02sarls7
gene_symbol,Tox
parameter_id,M-G-P_025_001_030
mouse_life_stage,Early adult
pvalue,1.311367
gene_accession_id,MGI:2181659
parameter_name,Magnesium
mouse_strain,C57BL
