parameter_name,Blood Vessel Morphology
pvalue,0.6516113
gene_accession_id,MGI:1332236
gene_symbol,Cds2
analysis_id,m10f7061dgx8ry3
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_011_001
