analysis_id,et031ayn77q7v18
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
pvalue,0.9150631
gene_accession_id,MGI:88328
mouse_strain,C57BL
