parameter_name,Body Weight
gene_symbol,Zyg11b
analysis_id,3692d5tys50i3s1
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
pvalue,0.07979855
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
