gene_symbol,Snrpb2
parameter_id,MGP_PBI_016_001
gene_accession_id,MGI:104805
analysis_id,9m8vw6m5sv8dn3v
mouse_strain,C51BL
parameter_name,Monocyte percentage
mouse_life_stage,Early adult
pvalue,0.9687265
