parameter_name,Periphery - Permanence Time
gene_symbol,Dmap1
analysis_id,48ygz0a868p5p7u
mouse_strain,C57BL
pvalue,0.9937347
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
