parameter_name,110dB startle magnitude
mouse_strain,C57BL
pvalue,0.4084414
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
analysis_id,pqg870307n17086
gene_symbol,Bmp7
