gene_symbol,Galk2
pvalue,0.3527186
mouse_life_stage,Early adult
parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
analysis_id,1cw7mv12hf6p1eg
gene_accession_id,MGI:1917226
mouse_strain,C57BL
