parameter_id,IMPC_XRY_033_001
pvalue,0.5376799
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_name,Tibia length
mouse_strain,C57BL
analysis_id,2299bw65anl683h
mouse_life_stage,Early adult
