analysis_id,nxed458g6zjof96
gene_accession_id,MGI:1925049
gene_symbol,Sla2
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.4989244
