analysis_id,k55mp200q08h9z1
pvalue,0.5789634
parameter_name,Creatinine
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
gene_symbol,Tnni1
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
