parameter_id,TCPLA_XRY_033_001
gene_symbol,Toporsl
parameter_name,Tibia length
gene_accession_id,MGI:1915524
pvalue,0.7965348
analysis_id,y8186b785s9005n
mouse_strain,C57BL
mouse_life_stage,Early adult
