analysis_id,47520cjeto9c953
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
gene_symbol,AU040320
mouse_life_stage,Early adult
pvalue,1.429579
mouse_strain,C57BL
gene_accession_id,MGI:2140475
