parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
analysis_id,78n6y14a5le6778
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,129SV
pvalue,0.5110198
