gene_symbol,AU040320
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
gene_accession_id,MGI:2140475
pvalue,0.331058
mouse_life_stage,Late adult
parameter_name,Corneal opacity
analysis_id,t1ggu1lch512a7d
