parameter_name,Whole arena resting time
parameter_id,JAX_OFD_007_001
mouse_strain,C57BL
pvalue,1.335986
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
gene_symbol,Bcs1l
analysis_id,379726b06by6o88
