analysis_id,936i490h036714c
pvalue,0.3503426
mouse_life_stage,E9.5
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_name,Prepulse inhibition - PP3
