gene_symbol,Zmynd8
analysis_id,5j68vlo7u6ixcm1
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
pvalue,0.5578196
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
parameter_name,HRV
