parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
analysis_id,t2x475kl4vx61m1
gene_symbol,Etfdh
mouse_life_stage,Early adult
parameter_name,Time mobile dark side
gene_accession_id,MGI:106100
pvalue,0.9454734
