analysis_id,mrmqz6ianx93631
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
parameter_name,Creatinine
mouse_strain,C57BL
gene_symbol,Cntfr
parameter_id,HMGULA_CBC_005_001
pvalue,0.5477235
