analysis_id,2m5a8rn7g3we9h9
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
gene_accession_id,MGI:2673000
pvalue,0.554855
mouse_life_stage,Early adult
gene_symbol,Trim46
