pvalue,6.422847e-05
gene_symbol,Tox
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_004_001
mouse_strain,C57BL
analysis_id,0rh4z2384g07kxk
parameter_name,6kHz-evoked ABR Threshold
