analysis_id,7rrk1kr131g9u45
parameter_name,Head morphology
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.5483214
parameter_id,MGP_CSD_064_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
