parameter_name,Sodium
mouse_strain,C57BL
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
analysis_id,a4v4q291u6pvj46
parameter_id,IMPC_CBC_001_001
pvalue,0.6605485
