mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
pvalue,0.09996839
gene_symbol,Lpgat1
analysis_id,xszo7j0v6425531
mouse_strain,C57BL
parameter_name,Effector NK cells - % of NK cells
parameter_id,MGP_MLN_032_001
