parameter_name,6kHz-evoked ABR Threshold
mouse_life_stage,Early adult
pvalue,0.9920355
analysis_id,240fp477uz686o8
gene_symbol,Nemp2
parameter_id,IMPC_ABR_004_001
gene_accession_id,MGI:2444113
mouse_strain,C57BL
