gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_014_001
analysis_id,el890763wn124sn
pvalue,0.5037233
