parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
analysis_id,63vmc6351z94a28
parameter_name,Average duration
gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.2231167
mouse_strain,C57BL
