parameter_name,Lens Opacity
gene_symbol,Kif24
pvalue,0.6628552
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
analysis_id,40belzm7csk5x9n
gene_accession_id,MGI:1918345
