gene_symbol,Zmynd8
analysis_id,7c6vnk57at787iz
parameter_name,% Pre-pulse inhibition - PPI1
gene_accession_id,MGI:1918025
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.3487583
