parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:1921442
pvalue,0.2102953
analysis_id,4792ol09989v484
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arpc5l
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
