analysis_id,y9q418uh31hhrxl
parameter_id,MGP_MLN_058_001
gene_symbol,Slc45a3
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
pvalue,0.3451584
mouse_strain,C57BL
gene_accession_id,MGI:1922082
