analysis_id,cy8bxr9v23l9niw
gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.9152879
parameter_id,IMPC_XRY_033_001
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
parameter_name,Tibia length
