analysis_id,2h1vn7tj669w60e
pvalue,0.9377195
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Heart weight
