gene_symbol,Zyg11b
parameter_id,MGP_MLN_006_001
pvalue,0.9281458
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
analysis_id,r2s1zrarxa32qvu
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
