gene_symbol,Snrpb2
gene_accession_id,MGI:104805
analysis_id,73ow86044x78j31
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
pvalue,0.3463111
