gene_symbol,Mms22l
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
pvalue,0.3979513
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:2684980
analysis_id,g6039h0747kcl27
