parameter_name,Percentage center time
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
analysis_id,0iygvg50zaan164
pvalue,0.1797094
