parameter_name,Total holepokes
mouse_life_stage,Early adult
analysis_id,wl32x8r1200448f
gene_symbol,Nipal3
gene_accession_id,MGI:1921802
pvalue,0.05461413
mouse_strain,129SV
parameter_id,JAXLA_HBD_001_001
