analysis_id,fb049m09kw2497v
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1921442
mouse_strain,C57BL
gene_symbol,Arpc5l
pvalue,0.8279737
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
