parameter_name,Eosinophils
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_id,IMPC_IMM_052_001
pvalue,0.6121063
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,cobgutd33470opg
