parameter_name,Body position
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
analysis_id,3z2tidp1t0ba0p4
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
pvalue,0.8976345
gene_accession_id,MGI:1914050
