analysis_id,20jj3t8ei9r35p9
gene_accession_id,MGI:2385884
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
gene_symbol,Ddx27
pvalue,0.1636199
mouse_life_stage,Early adult
parameter_id,JAX_SLW_014_001
