mouse_life_stage,Early adult
parameter_id,MGP_MLN_076_001
pvalue,0.4136979
mouse_strain,C54BL
gene_accession_id,MGI:1914556
parameter_name,Naive CD8+ T cells - % of CD45+
gene_symbol,Zc2hc1a
analysis_id,11uf61e820f33n6
