analysis_id,j8vieg8ecr154f4
mouse_life_stage,E9.5
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
pvalue,0.8770708
mouse_strain,C57BL
