parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
pvalue,0.493471
gene_accession_id,MGI:104848
analysis_id,646rq47m3t8f50c
gene_symbol,Inpp1
mouse_strain,129SV
