analysis_id,4un61f8q2sxd7wg
mouse_life_stage,Early adult
gene_symbol,F2
pvalue,0.5866484
mouse_strain,C57BL
gene_accession_id,MGI:88380
parameter_id,HMGULA_CBC_009_001
parameter_name,Calcium
